DTXSID,Chemical,CASRN,SMILES,Library,Max conc,Median % activity,Tested in CR?,dataset,Comment,UVCB/Markush,NEUTRAL/SALT PAIRS,AQC,QualityCall,T0,T4,Call,SMILES,QSAR_READY_SMILES,MOLECULAR_FORMULA,AVERAGE_MASS,DTXSID,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED
DTXSID6025692,Myrcene,123-35-3,CC(C)=CCCC(=C)C=C,ph2,,,,blind test,,,,Fns-ND-L Fail,Fail,Fns,ND,L,CC(C)=CCCC(=C)C=C,CC(C)=CCCC(=C)C=C,C10H16,136.238,DTXSID6025692,4.17027,2.02385
DTXSID3041954,3-Octanone,106-68-3,CCCCCC(=O)CC,e1k,,,,blind test,,,,Fns-ND-L Fail,Fail,Fns,ND,L,CCCCCC(=O)CC,CCCCCC(=O)CC,C8H16O,128.215,DTXSID3041954,2.4569,1.9836
DTXSID6022472,Butylbenzene,104-51-8,CCCCC1=CC=CC=C1,ph2,100.0035,16.02726696,N,training,,,,Fns-ND-L Fail,Fail,Fns,ND,L,CCCCC1=CC=CC=C1,CCCCC1=CC=CC=C1,C10H14,134.222,DTXSID6022472,4.37945,1.06787
DTXSID6020141,"2,3-Benzofuran",271-89-6,O1C=CC2=C1C=CC=C2,ph2,,,,leaderboard,,,,Fns-ND-L Fail,Fail,Fns,ND,L,O1C=CC2=C1C=CC=C2,O1C=CC2=C1C=CC=C2,C8H6O,118.135,DTXSID6020141,2.67061,0.437733
DTXSID9021689,Undecane,1120-21-4,CCCCCCCCCCC,ph2,99.999,4.933210089,N,training,,,,Fns-ND-L Fail,Fail,Fns,ND,L,CCCCCCCCCCC,CCCCCCCCCCC,C11H24,156.313,DTXSID9021689,6.53656,0.411721
DTXSID2036299,"N,N-Dimethyloctylamine",7378-99-6,CCCCCCCCN(C)C,ph2,,,,blind test,,,,Fns-ND-L Fail,Fail,Fns,ND,L,CCCCCCCCN(C)C,CCCCCCCCN(C)C,C10H23N,157.301,DTXSID2036299,2.66528,0.251756
DTXSID4026183,Tributylamine,102-82-9,CCCCN(CCCC)CCCC,ph2,100.001,38.52612801,N,training,,,,Fns-ND-L Fail,Fail,Fns,ND,L,CCCCN(CCCC)CCCC,CCCCN(CCCC)CCCC,C12H27N,185.355,DTXSID4026183,3.04953,0.0932705
DTXSID6027268,Pentadecane,629-62-9,CCCCCCCCCCCCCCC,ph2,99.9985,4.669955215,N,training,,,,Fns-ND-L Fail,Fail,Fns,ND,L,CCCCCCCCCCCCCCC,CCCCCCCCCCCCCCC,C15H32,212.421,DTXSID6027268,7.4539,0.00343379
DTXSID2047305,CP-608039,NOCAS_47305,CNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1N)N1C=NC2=C1N=CN=C2NCC1=CC(Cl)=CC=C1OCC1=CC(C)=NO1,ph2,,,,leaderboard,,,,Fns-ND-L Fail,Fail,Fns,ND,L,CNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1N)N1C=NC2=C1N=CN=C2NCC1=CC(Cl)=CC=C1OCC1=CC(C)=NO1,CNC(=O)C1OC(C(O)C1N)N1C=NC2=C(NCC3=C(OCC4=CC(C)=NO4)C=CC(Cl)=C3)N=CN=C12,C23H25ClN8O5,528.95,DTXSID2047305,0.054978,2.94E-10
DTXSID1021378,Trichloroacetic acid,76-03-9,OC(=O)C(Cl)(Cl)Cl,ph2,100,-0.877853749,N,training,,,,Fns-ND Unknown,Unknown,Fns,ND,,OC(=O)C(Cl)(Cl)Cl,OC(=O)C(Cl)(Cl)Cl,C2HCl3O2,163.38,DTXSID1021378,1.33069,0.0605751
DTXSID9024431,Aldicarb oxime,1646-75-9,CSC(C)(C)C=NO,ph2,100,10.09500159,N,training,,,,Fns-ND Fail,Fail,Fns,ND, ,CSC(C)(C)C=NO,CSC(C)(C)C=NO,C5H11NOS,133.21,DTXSID9024431, , 
DTXSID0027195,Hexadecane,544-76-3,CCCCCCCCCCCCCCCC,ph2,100,10.13524264,N,training,,,,Fns-ND,Fail,Fns,ND, ,CCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC,C16H34,226.448,DTXSID0027195,8.07999,0.00142636
DTXSID9042209,N-Methyldioctylamine,4455-26-9,CCCCCCCCN(C)CCCCCCCC,ph2,,,,blind test,,,,Fns-ND,Fail,Fns,ND, ,CCCCCCCCN(C)CCCCCCCC,CCCCCCCCN(C)CCCCCCCC,C17H37N,255.49,DTXSID9042209,5.81232,0.000113776
DTXSID7024538,Anthralin,1143-38-0,OC1=C2C(CC3=CC=CC(O)=C3C2=O)=CC=C1,ph2,,,,blind test,,,,Fns-ND,Fail,Fns,ND, ,OC1=C2C(CC3=CC=CC(O)=C3C2=O)=CC=C1,OC1=C2C(CC3=CC=CC(O)=C3C2=O)=CC=C1,C14H10O3,226.231,DTXSID7024538,3.18594,7.68E-10
DTXSID5032361,"2,2-Dibromo-3-nitrilopropionamide",10222-01-2,NC(=O)C(Br)(Br)C#N,ph2,99.9985,25.75459734,N,training,,,,Fns-Fns-T Fail,Fail,Fns,Fns,T,NC(=O)C(Br)(Br)C#N,NC(=O)C(Br)(Br)C#N,C3H2Br2N2O,241.87,DTXSID5032361,0.819694,0.000898632
DTXSID2027333,3-Aminopropyltriethoxysilane,919-30-2,CCO[Si](CCCN)(OCC)OCC,e1k,100.0015,-19.27543118,N,training,SILICON,,,Fns-FnS-T,Fail,Fns,Fns,T,CCO[Si](CCCN)(OCC)OCC,CCO[Si](CCCN)(OCC)OCC,C9H23NO3Si,221.372,DTXSID2027333,2.89427,0.00669628
DTXSID7030060,"2,2-Dichloropropane",594-20-7,CC(C)(Cl)Cl,e1k,,,,blind test,,,,Fns-Fns-L Fail,Fail,Fns,Fns,L,CC(C)(Cl)Cl,CC(C)(Cl)Cl,C3H6Cl2,112.98,DTXSID7030060,1.86141,104.777
DTXSID2025478,Isopropyl acetate,108-21-4,CC(C)OC(C)=O,e1k,100.0075,11.24321828,N,training,<100 Mas,,,Fns-Fns-L Fail,Fail,Fns,Fns,L,CC(C)OC(C)=O,CC(C)OC(C)=O,C5H10O2,102.133,DTXSID2025478,1.22114,59.5258
DTXSID0021888,2-Pentanone,107-87-9,CCCC(C)=O,e1k,99.935,11.88647401,N,training,<100 Mas,,,Fns-Fns-L Fail,Fail,Fns,Fns,L,CCCC(C)=O,CCCC(C)=O,C5H10O,86.134,DTXSID0021888,0.909727,35.2113
DTXSID6026298,m-Xylene,108-38-3,CC1=CC(C)=CC=C1,e1k,99.9985,34.23499577,N,training,<100 Mas,,,Fns-Fns-L Fail,Fail,Fns,Fns,L,CC1=CC(C)=CC=C1,CC1=CC(C)=CC=C1,C8H10,106.168,DTXSID6026298,3.19855,8.30062
DTXSID9021897,3-Methylpyridine,108-99-6,CC1=CC=CN=C1,e1k,,,,leaderboard,<100 Mas,,,Fns-Fns-L Fail,Fail,Fns,Fns,L,CC1=CC=CN=C1,CC1=CC=CN=C1,C6H7N,93.129,DTXSID9021897,1.20049,6.06531
DTXSID2029290,(-)-alpha-Pinene,7785-26-4,CC1=CC[C@H]2C[C@@H]1C2(C)C,e1k,,,,leaderboard,,,,Fns-Fns-L Fail,Fail,Fns,Fns,L,CC1=CC[C@H]2C[C@@H]1C2(C)C,CC1=CCC2CC1C2(C)C,C10H16,136.238,DTXSID2029290,4.82559,4.71177
DTXSID9025796,Nonane,111-84-2,CCCCCCCCC,e1k,100.0905,3.243315241,N,training,,,,Fns-Fns-L Fail,Fail,Fns,Fns,L,CCCCCCCCC,CCCCCCCCC,C9H20,128.259,DTXSID9025796,5.54877,4.45431
DTXSID8026488,Camphene,79-92-5,CC1(C)C2CCC(C2)C1=C,e1k,100,6.914999009,N,training,,,,Fns-Fns-L Fail,Fail,Fns,Fns,L,CC1(C)C2CCC(C2)C1=C,CC1(C)C2CCC(C2)C1=C,C10H16,136.238,DTXSID8026488,4.21778,2.5268
DTXSID2029612,Limonene,138-86-3,CC(=C)C1CCC(C)=CC1,e1k,,,,leaderboard,,,,Fns-Fns-L Fail,Fail,Fns,Fns,L,CC(=C)C1CCC(C)=CC1,CC(=C)C1CCC(C)=CC1,C10H16,136.238,DTXSID2029612,4.51408,1.5412
DTXSID0041484,(3Z)-3-Hexenyl acetate,3681-71-8,CC\C=C/CCOC(C)=O,e1k,100,14.02516449,N,training,,,,Fns-Fns-L Fail,Fail,Fns,Fns,L,CC\C=C/CCOC(C)=O,CCC=CCCOC(C)=O,C8H14O2,142.198,DTXSID0041484,2.58187,1.31488
DTXSID5047297,CP-085958,134002-60-1,O[C@@H]1[C@H](CC2=CC=CC(=C2)C(O)=O)COC2=C1C=C(OCC1=NC3=C(S1)C=CC(F)=C3)C=C2,ph2,50,64.58641064,N,training,,,,F-ND-X Fail,Fail,F,ND,X,O[C@@H]1[C@H](CC2=CC=CC(=C2)C(O)=O)COC2=C1C=C(OCC1=NC3=C(S1)C=CC(F)=C3)C=C2,OC1C(CC2=CC(=CC=C2)C(O)=O)COC2=C1C=C(OCC1=NC3=CC(F)=CC=C3S1)C=C2,C25H20FNO5S,465.5,DTXSID5047297,4.58497,6.52E-10
DTXSID1024209,Naled,300-76-5,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,ph1_v2,,,,blind test,PHOS*,,,F-ND-T Fail,Fail,F,ND,T,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,C4H7Br2Cl2O4P,380.78,DTXSID1024209,1.38217,0.00020146
DTXSID1020560,Endosulfan,115-29-7,ClC1=C(Cl)C2(Cl)C3COS(=O)OCC3C1(Cl)C2(Cl)Cl,ph1_v2,100.002,16.44590984,N,training,,,,F-ND-T Fail,Fail,F,ND,T,ClC1=C(Cl)C2(Cl)C3COS(=O)OCC3C1(Cl)C2(Cl)Cl,ClC1=C(Cl)C2(Cl)C3COS(=O)OCC3C1(Cl)C2(Cl)Cl,C9H6Cl6O3S,406.9,DTXSID1020560,3.82812,1.73E-07
DTXSID3042390,Sodium (2-pyridylthio)-N-oxide,3811-73-2,[Na+].[O-][N+]1=C([S-])C=CC=C1,ph2,100,3.504761905,N,training,,,,F-ND-T,Fail,F,ND,T,[Na+].[O-][N+]1=C([S-])C=CC=C1,O[N+]1=C(S)C=CC=C1,C5H4NNaOS,149.14,DTXSID3042390,-2.24276,0.0318358
DTXSID4020666,Glycidol,556-52-5,OCC1CO1,ph2,100,2.87261328,N,training,<100 Mas,,,F-ND-L Fail,Fail,F,ND,L,OCC1CO1,OCC1CO1,C3H6O2,74.079,DTXSID4020666,-0.948701,4.40998
DTXSID5032365,"2,6-Dichlorobenzonitrile",1194-65-6,ClC1=CC=CC(Cl)=C1C#N,ph1_v2,99.999,77.73828894,N,training,,,,F-ND Fail,Fail,F,ND, ,ClC1=CC=CC(Cl)=C1C#N,ClC1=CC=CC(Cl)=C1C#N,C7H3Cl2N,172.01,DTXSID5032365,2.74149,0.000669028
DTXSID0047539,"Hexane-1,6-diyl dibenzoate",22915-73-7,O=C(OCCCCCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1,ph2,100.0015,26.75545221,N,training,,,,F-ND Fail,Fail,F,ND, ,O=C(OCCCCCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1,O=C(OCCCCCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1,C20H22O4,326.392,DTXSID0047539,3.86646,5.51E-07
DTXSID9034492,"4-Chloro-2-cyano-N,N-dimethyl-5-(4-methylphenyl)-1H-imidazole-1-sulfonamide",120116-88-3,CN(C)S(=O)(=O)N1C(=NC(Cl)=C1C1=CC=C(C)C=C1)C#N,ph1_v2,100.001,103.3406817,Y,training,,,,F-F-X Fail,Fail,F,F,X,CN(C)S(=O)(=O)N1C(=NC(Cl)=C1C1=CC=C(C)C=C1)C#N,CN(C)S(=O)(=O)N1C(=NC(Cl)=C1C1=CC=C(C)C=C1)C#N,C13H13ClN4O2S,324.78,DTXSID9034492,0.848005,7.08E-09
DTXSID0048210,Phenyl benzoate,93-99-2,O=C(OC1=CC=CC=C1)C1=CC=CC=C1,e1k,,,,blind test,,,,F-F-X,Fail,F,F,X,O=C(OC1=CC=CC=C1)C1=CC=CC=C1,O=C(OC1=CC=CC=C1)C1=CC=CC=C1,C13H10O2,198.221,DTXSID0048210,3.58883,0.00168875
DTXSID0029559,Diazolidinyl urea,78491-02-8,OCNC(=O)N(CO)C1N(CO)C(=O)N(CO)C1=O,e1k,99.999,9.65112147,N,training,,,,F-F-X,Fail,F,F,X,OCNC(=O)N(CO)C1N(CO)C(=O)N(CO)C1=O,OCNC(=O)N(CO)C1N(CO)C(=O)N(CO)C1=O,C8H14N4O7,278.221,DTXSID0029559,-1.81043,1.69E-10
DTXSID1042491,Triethoxypentylsilane,2761-24-2,CCCCC[Si](OCC)(OCC)OCC,e1k,,,,blind test,SILICON,,,F-F-T Fail,Fail,F,F,T,CCCCC[Si](OCC)(OCC)OCC,CCCCC[Si](OCC)(OCC)OCC,C11H26O3Si,234.411,DTXSID1042491,3.20895,1.3842
DTXSID0027222,Terpinolene,586-62-9,CC(C)=C1CCC(C)=CC1,e1k,100.0015,19.02623645,N,training,,,,F-F-T Fail,Fail,F,F,T,CC(C)=C1CCC(C)=CC1,CC(C)=C1CCC(C)=CC1,C10H16,136.238,DTXSID0027222,4.46976,0.747495
DTXSID6025355,Glutaraldehyde,111-30-8,O=CCCCC=O,ph2,,,,leaderboard,<100 Mas,,,F-F-T Fail,Fail,F,F,T,O=CCCCC=O,O=CCCCC=O,C5H8O2,100.117,DTXSID6025355,-0.138385,0.608706
DTXSID5040700,Trimethoxyphenylsilane,2996-92-1,CO[Si](OC)(OC)C1=CC=CC=C1,e1k,100,23.35682819,N,training,SILICON,,,F-F-T Fail,Fail,F,F,T,CO[Si](OC)(OC)C1=CC=CC=C1,CO[Si](OC)(OC)C1=CC=CC=C1,C9H14O3Si,198.293,DTXSID5040700,1.88144,0.116393
DTXSID0026258,Tris(2-chloroethyl) phosphite,140-08-9,ClCCOP(OCCCl)OCCCl,e1k,99.999,6.066012489,N,training,,,,F-F-T Fail,Fail,F,F,T,ClCCOP(OCCCl)OCCCl,ClCCOP(OCCCl)OCCCl,C6H12Cl3O3P,269.48,DTXSID0026258,1.33652,0.0040036
DTXSID3026641,"1,3-Benzenedicarbonyl dichloride",99-63-8,ClC(=O)C1=CC(=CC=C1)C(Cl)=O,e1k,100.005,36.82690572,N,training,,,,F-F-T Fail,Fail,F,F,T,ClC(=O)C1=CC(=CC=C1)C(Cl)=O,ClC(=O)C1=CC(=CC=C1)C(Cl)=O,C8H4Cl2O2,203.02,DTXSID3026641,2.29297,0.00138425
DTXSID2032683,Mevinphos,7786-34-7,COC(=O)C=C(C)OP(=O)(OC)OC,ph1_v2,,,,leaderboard,,,,F-F-T Fail,Fail,F,F,T,COC(=O)C=C(C)OP(=O)(OC)OC,COC(=O)C=C(C)OP(=O)(OC)OC,C7H13O6P,224.149,DTXSID2032683,0.129756,0.00012583
DTXSID6027345,Triphenylborane,960-71-4,C1=CC=C(C=C1)B(C1=CC=CC=C1)C1=CC=CC=C1,e1k,,,,blind test,,,,F-F-T Fail,Fail,F,F,T,C1=CC=C(C=C1)B(C1=CC=CC=C1)C1=CC=CC=C1,C1=CC=C(C=C1)B(C1=CC=CC=C1)C1=CC=CC=C1,C18H15B,242.13,DTXSID6027345,4.68575,5.61E-05
DTXSID1034929,Spiromesifen,283594-90-1,CC1=CC(C)=C(C2=C(OC(=O)CC(C)(C)C)C3(CCCC3)OC2=O)C(C)=C1,e1k,,,,leaderboard,,,,F-F-T Fail,Fail,F,F,T,CC1=CC(C)=C(C2=C(OC(=O)CC(C)(C)C)C3(CCCC3)OC2=O)C(C)=C1,CC1=CC(C)=C(C2=C(OC(=O)CC(C)(C)C)C3(CCCC3)OC2=O)C(C)=C1,C23H30O4,370.489,DTXSID1034929,4.54555,3.84E-07
DTXSID0042169,Monotridecyl phosphate,5116-94-9,CCCCCCCCCCCCCOP(O)(O)=O,e1k,100,104.857354,Y,training,PHOS*,,,F-F-T Fail,Fail,F,F,T,CCCCCCCCCCCCCOP(O)(O)=O,CCCCCCCCCCCCCOP(O)(O)=O,C13H29O4P,280.345,DTXSID0042169,2.93153,4.57E-09
DTXSID0020107,Aspartame,22839-47-0,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O,e1k,,,,blind test,,,,F-F-T Fail,Fail,F,F,T,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O,COC(=O)C(CC1=CC=CC=C1)NC(=O)C(N)CC(O)=O,C14H18N2O5,294.307,DTXSID0020107,-1.20454,6.02E-10
DTXSID1024124,Thifensulfuron methyl,79277-27-3,COC(=O)C1=C(C=CS1)S(=O)(=O)NC(=O)NC1=NC(C)=NC(OC)=N1,e1k,,,,blind test,,,,F-F-T Fail,Fail,F,F,T,COC(=O)C1=C(C=CS1)S(=O)(=O)NC(=O)NC1=NC(C)=NC(OC)=N1,COC(=O)C1=C(C=CS1)S(=O)(=O)NC(=O)NC1=NC(C)=NC(OC)=N1,C12H13N5O6S2,387.39,DTXSID1024124,1.56023,1.28E-10
DTXSID6034764,Nicosulfuron,111991-09-4,COC1=CC(OC)=NC(NC(=O)NS(=O)(=O)C2=NC=CC=C2C(=O)N(C)C)=N1,e1k,100.0025,17.7395278,N,training,,,,F-F-T Fail,Fail,F,F,T,COC1=CC(OC)=NC(NC(=O)NS(=O)(=O)C2=NC=CC=C2C(=O)N(C)C)=N1,COC1=CC(OC)=NC(NC(=O)NS(=O)(=O)C2=NC=CC=C2C(=O)N(C)C)=N1,C15H18N6O6S,410.41,DTXSID6034764,0.0122087,1.07E-10
DTXSID4027367,1-Tetradecene,1120-36-1,CCCCCCCCCCCCC=C,ph2,100,9.611800752,N,training,,,,F-Fns-X Fail,Fail,F,Fns,X,CCCCCCCCCCCCC=C,CCCCCCCCCCCCC=C,C14H28,196.378,DTXSID4027367,6.86646,0.0149466
DTXSID3024940,Dibromoacetonitrile,3252-43-5,BrC(Br)C#N,ph2,,,,leaderboard,,,,F-Fns-L Fail,Fail,F,Fns,L,BrC(Br)C#N,BrC(Br)C#N,C2HBr2N,198.845,DTXSID3024940,2.01986,5.54953
DTXSID3021980,Ethyl hexanoate,123-66-0,CCCCCC(=O)OCC,e1k,100,1.804801705,N,training,,,,F-Fns-L Fail,Fail,F,Fns,L,CCCCCC(=O)OCC,CCCCCC(=O)OCC,C8H16O2,144.214,DTXSID3021980,2.63012,1.82366
DTXSID9044742,"2,2'-[Ethane-1,2-diylbis(oxy)]diethanamine",929-59-9,NCCOCCOCCN,ph2,,,,blind test,,,,F-Fns-0,Fail,F,Fns, ,NCCOCCOCCN,NCCOCCOCCN,C6H16N2O2,148.206,DTXSID9044742,-0.437247,0.00108224
DTXSID4025296,2-Ethyl-2-hexenal,645-62-5,CCCC=C(CC)C=O,e1k,99.9745,23.24152962,N,training,,,,F-F-L Fail,Fail,F,F,L,CCCC=C(CC)C=O,CCCC=C(CC)C=O,C8H14O,126.199,DTXSID4025296,2.31672,1.28302
DTXSID4021553,Decanal,112-31-2,CCCCCCCCCC=O,e1k,100,94.73850883,Y,training,,,,F-F-L Fail,Fail,F,F,L,CCCCCCCCCC=O,CCCCCCCCCC=O,C10H20O,156.269,DTXSID4021553,3.58774,0.103527
DTXSID4021006,N-Nitroso-N-methylurea,684-93-5,CN(N=O)C(N)=O,e1k,100.0015,0.830329177,N,training,<100 Mas,,,F-F-L Fail,Fail,F,F,L,CN(N=O)C(N)=O,CN(N=O)C(N)=O,C2H5N3O2,103.081,DTXSID4021006,-0.0320458,0.0189113
DTXSID9020089,Anilazine,101-05-3,ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1,ph1_v2,,,,blind test,,,,F-F-0,Fail,F,F, ,ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1,ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1,C9H5Cl3N4,275.52,DTXSID9020089,3.87767,6.24E-09
DTXSID0042379,Dimethoxydimethylsilane,1112-39-6,CO[Si](C)(C)OC,e1k,100.0045,3.520243049,N,training,SILICON,,,Fc-ND-T Fail,Fail,Fc,ND,T,CO[Si](C)(C)OC,CO[Si](C)(C)OC,C4H12O2Si,120.223,DTXSID0042379,2.09022,17.0085
DTXSID9040710,Octamethyltrisiloxane,107-51-7,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,e1k,,,,leaderboard,SILICON,,,Fc-ND-T Fail,Fail,Fc,ND,T,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,C8H24O2Si3,236.533,DTXSID9040710,6.59908,3.33419
DTXSID1038795,"1,1,1,3,5,5,5-Heptamethyltrisiloxane",1873-88-7,C[SiH](O[Si](C)(C)C)O[Si](C)(C)C,e1k,99.998,10.58239819,N,training,SILICON,,,Fc-ND-T Fail,Fail,Fc,ND,T,C[SiH](O[Si](C)(C)C)O[Si](C)(C)C,C[SiH](O[Si](C)(C)C)O[Si](C)(C)C,C7H22O2Si3,222.506,DTXSID1038795,6.27204,1.8123
DTXSID5027356,Tris(2-methoxyethoxy)vinylsilane,1067-53-4,COCCO[Si](OCCOC)(OCCOC)C=C,e1k,,,,blind test,SILICON,,,Fc-ND-T Fail,Fail,Fc,ND,T,COCCO[Si](OCCOC)(OCCOC)C=C,COCCO[Si](OCCOC)(OCCOC)C=C,C11H24O6Si,280.392,DTXSID5027356,0.162585,0.00517257
DTXSID7024031,"(E)-1,2-Dichloroethylene",156-60-5,Cl\C=C\Cl,e1k,,,,leaderboard,<100 Mas,,,Fc-ND-L Fail,Fail,Fc,ND,L,Cl\C=C\Cl,ClC=CCl,C2H2Cl2,96.94,DTXSID7024031,1.85973,199.558
DTXSID6042494,Trimethoxypropylsilane,1067-25-0,CCC[Si](OC)(OC)OC,e1k,99.9985,13.48720101,N,training,SILICON,,,Fc-ND-L Fail,Fail,Fc,ND,L,CCC[Si](OC)(OC)OC,CCC[Si](OC)(OC)OC,C6H16O3Si,164.276,DTXSID6042494,2.03519,11.8958
DTXSID9029146,4-Methylmorpholine,109-02-4,CN1CCOCC1,e1k,,,,leaderboard,,,,Fc-ND-L Fail,Fail,Fc,ND,L,CN1CCOCC1,CN1CCOCC1,C5H11NO,101.149,DTXSID9029146,-0.329368,11.4746
DTXSID3042059,Isopentyl butyrate,106-27-4,CCCC(=O)OCCC(C)C,ph2,,,,blind test,,,,Fc-ND-L Fail,Fail,Fc,ND,L,CCCC(=O)OCCC(C)C,CCCC(=O)OCCC(C)C,C9H18O2,158.241,DTXSID3042059,3.23315,0.950959
DTXSID6041210,gamma-Terpinene,99-85-4,CC(C)C1=CCC(C)=CC1,e1k,,,,blind test,,,,Fc-ND-L Fail,Fail,Fc,ND,L,CC(C)C1=CCC(C)=CC1,CC(C)C1=CCC(C)=CC1,C10H16,136.238,DTXSID6041210,4.49936,1.08969
DTXSID0026252,Triphenyl phosphite,101-02-0,O(P(OC1=CC=CC=C1)OC1=CC=CC=C1)C1=CC=CC=C1,ph2,100.002,26.89648581,N,training,,,,Fc-F-T Fail,Fail,Fc,F,T,O(P(OC1=CC=CC=C1)OC1=CC=CC=C1)C1=CC=CC=C1,O(P(OC1=CC=CC=C1)OC1=CC=CC=C1)C1=CC=CC=C1,C18H15O3P,310.289,DTXSID0026252,4.0763,3.04E-06
DTXSID2027258,Isopropyl formate,625-55-8,CC(C)OC=O,e1k,99.999,13.00237508,N,training,<100 Mas,,,Fc-Fns-L Fail,Fail,Fc,Fns,L,CC(C)OC=O,CC(C)OC=O,C4H8O2,88.106,DTXSID2027258,0.763816,137.276
DTXSID2025395,Hexamethyldisilazane,999-97-3,C[Si](C)(C)N[Si](C)(C)C,e1k,,,,leaderboard,SILICON,,,Fc-Fns-L Fail,Fail,Fc,Fns,L,C[Si](C)(C)N[Si](C)(C)C,C[Si](C)(C)N[Si](C)(C)C,C6H19NSi2,161.395,DTXSID2025395,4.15961,13.8182
DTXSID1023996,Cyclohexylamine,108-91-8,NC1CCCCC1,ph2,99.9965,11.75825128,N,training,<100 Mas,,,Fc-Fns-L Fail,Fail,Fc,Fns,L,NC1CCCCC1,NC1CCCCC1,C6H13N,99.177,DTXSID1023996,1.48574,10.0543
DTXSID9034286,5-Chloro-2-methyl-3(2H)-isothiazolone,26172-55-4,CN1SC(Cl)=CC1=O,ph2,,,,leaderboard,,,,Fc-Fns-L Fail,Fail,Fc,Fns,L,CN1SC(Cl)=CC1=O,CN1SC(Cl)=CC1=O,C4H4ClNOS,149.59,DTXSID9034286,-0.0499906,0.146336
DTXSID0042038,Heptyl butyrate,5870-93-9,CCCCCCCOC(=O)CCC,e1k,99.9985,18.59166628,N,training,,,,Fc-F-L Fail,Fail,Fc,F,L,CCCCCCCOC(=O)CCC,CCCCCCCOC(=O)CCC,C11H22O2,186.295,DTXSID0042038,4.2539,0.102143
DTXSID4032611,Ethoprop,13194-48-4,CCCSP(=O)(OCC)SCCC,ph1_v2,,,,leaderboard,PHOS*,,,Fc-Fc-S Fail,Fail,Fc,Fc,S,CCCSP(=O)(OCC)SCCC,CCCSP(=O)(OCC)SCCC,C8H19O2PS2,242.33,DTXSID4032611,3.58788,0.000380384
DTXSID5021411,Tris(2-chloroethyl) phosphate,115-96-8,ClCCOP(=O)(OCCCl)OCCCl,ph2,100,-17.62705001,N,training,PHOS*,,,Fc-Fc Fail,Fail,Fc,Fc, ,ClCCOP(=O)(OCCCl)OCCCl,ClCCOP(=O)(OCCCl)OCCCl,C6H12Cl3O4P,285.48,DTXSID5021411,1.44108,0.0608845
DTXSID3024869,Cumene hydroperoxide,80-15-9,CC(C)(OO)C1=CC=CC=C1,ph2,,,,leaderboard,,,,D-U Unknown,Unknown,D,U, ,CC(C)(OO)C1=CC=CC=C1,CC(C)(OO)C1=CC=CC=C1,C9H12O2,152.193,DTXSID3024869,2.43531,0.00328601
DTXSID9020453,Dieldrin,60-57-1,ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H]4C[C@@H]([C@H]5O[C@@H]45)[C@@H]3[C@@]1(Cl)C2(Cl)Cl,ph2,99.9705,25.87599323,N,training,,,,D-U Unknown,Unknown,D,U, ,[H][C@]12O[C@@]1([H])[C@@]1([H])C[C@]2([H])[C@@]2([H])[C@]1([H])[C@@]1(Cl)C(Cl)=C(Cl)[C@]2(Cl)C1(Cl)Cl,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,C12H8Cl6O,380.9,DTXSID9020453,5.11788,5.88E-06
DTXSID4032613,Fenitrothion,122-14-5,COP(=S)(OC)OC1=CC=C(C(C)=C1)[N+]([O-])=O,ph1_v2,100,98.41964641,Y,training,PHOS*,,,D-ND-T Unknown,Unknown,D,ND,T,COP(=S)(OC)OC1=CC=C(C(C)=C1)[N+]([O-])=O,COP(=S)(OC)OC1=CC=C(C(C)=C1)[N+]([O-])=O,C9H12NO5PS,277.23,DTXSID4032613,3.30116,0.000052781
DTXSID6040795,Chloramine-T trihydrate,7080-50-4,O.O.O.[Na+].CC1=CC=C(C=C1)S(=O)(=O)[N-]Cl,e1k,100.002,88.88888889,Y,training,,,,D-ND-T Unknown,Unknown,D,ND,T,O.O.O.[Na+].CC1=CC=C(C=C1)S(=O)(=O)[N-]Cl,CC1=CC=C(C=C1)S(=O)(=O)NCl,C7H13ClNNaO5S,281.68,DTXSID6040795,-2.05379,5.92E-06
