,PACT_CLASS,PACT_MED,CR_TESTED
DTXSID9021348,3,23.12943292,N
DTXSID5025021,4,37.80759881,N
DTXSID4048195,10,101.4618228,Y
DTXSID4048191,4,43.36185941,N
DTXSID0026880,1,3.315148972,N
DTXSID3020625,2,18.21724138,N
DTXSID7029661,3,28.50079693,N
DTXSID7029110,2,11.27931034,N
DTXSID5044815,3,29.16896552,N
DTXSID8026694,1,10.14096916,N
DTXSID4025612,1,0.190895742,N
DTXSID8022408,10,103.1453744,Y
DTXSID7029611,3,25.99655172,N
DTXSID7026235,1,5.072413793,N
DTXSID3021770,10,105.2011747,Y
DTXSID8024072,1,8.21650457,N
DTXSID8026141,1,9.517613766,N
DTXSID5032654,0,-4.778267254,N
DTXSID7025217,9,98.3876652,Y
DTXSID1033161,0,-5.718374915,N
DTXSID7040360,7,75.03377386,N
DTXSID2026496,1,10.03793103,N
DTXSID0044571,8,78.86343612,N
DTXSID9047590,9,91.85609398,Y
DTXSID3022409,8,87.73274596,Y
DTXSID7021788,10,108.7958884,Y
DTXSID8027402,4,40.71821228,N
DTXSID6023159,10,102.4757709,Y
DTXSID3022405,9,98.25844347,Y
DTXSID7026368,6,55.85022026,N
DTXSID4022288,9,94.72758621,Y
DTXSID7044394,1,7.168965517,N
DTXSID6031380,1,6.506896552,N
DTXSID1041978,2,19.98275862,N
DTXSID0020076,0,-0.196551724,N
DTXSID4047882,10,105.2951542,Y
DTXSID2022678,3,29.12532934,N
DTXSID8032675,8,78.56747878,N
DTXSID7041544,3,29.11231825,N
DTXSID1029128,1,7.817241379,N
DTXSID2042191,1,0.743264168,N
DTXSID7027540,2,17.82457589,N
DTXSID5040708,9,97.67881653,Y
DTXSID0020656,0,-5.356107976,N
DTXSID8040484,1,8.079556794,N
DTXSID8021856,7,67.65026621,N
DTXSID2042060,0,-7.800372057,N
DTXSID9024194,7,70.56880355,N
DTXSID4023202,1,10.07120405,N
DTXSID9032531,5,44.44159343,N
DTXSID3041299,2,19.60356662,N
DTXSID3021853,1,6.568734364,N
DTXSID6045400,1,9.711976394,N
DTXSID6032516,7,74.97331097,N
DTXSID8029153,9,88.20068133,Y
DTXSID6023862,1,7.787542498,N
DTXSID3032416,8,85.96614305,Y
DTXSID9029302,6,61.09436141,N
DTXSID1048203,2,15.64983999,N
DTXSID5021413,2,21.44883331,N
DTXSID4034497,3,31.7146706,N
DTXSID4020870,5,52.26248236,N
DTXSID8026228,1,6.62055676,N
DTXSID1037565,6,59.84989416,N
DTXSID2027412,1,5.230377482,N
DTXSID1041188,5,50.24055424,N
DTXSID7042196,0,-11.80964179,N
DTXSID8042422,1,8.492481332,N
DTXSID3021356,0,-3.69491308,N
DTXSID0027014,2,19.88550091,N
DTXSID2044391,8,85.84807142,Y
DTXSID8020179,2,11.47080562,N
DTXSID8020591,4,36.90752906,N
DTXSID6021824,10,105.453933,Y
DTXSID6041424,2,12.51616822,N
DTXSID1025148,7,66.23503326,N
DTXSID1022479,7,68.14215934,N
DTXSID7042011,8,85.86154624,Y
DTXSID7038864,4,39.25361887,N
DTXSID2042436,8,81.21562496,N
DTXSID9022607,1,9.472283814,N
DTXSID8022589,2,11.27842345,N
DTXSID8041955,1,4.487114704,N
DTXSID7025427,2,17.39541759,N
DTXSID7025003,10,105.0092639,Y
DTXSID7041889,3,26.64301552,N
DTXSID7032630,7,72.99598466,N
DTXSID6024046,9,98.81448633,Y
DTXSID5047611,1,10.64009268,N
DTXSID5022510,9,90.26459719,Y
DTXSID4022446,10,100.872136,Y
DTXSID0025363,1,7.805733953,N
DTXSID6042234,2,21.04623829,N
DTXSID0048189,8,79.44753242,N
DTXSID4027997,2,17.22985957,N
DTXSID3037541,4,43.22010663,N
DTXSID9048196,4,37.94364052,N
DTXSID4022523,10,103.0111993,Y
DTXSID3041877,4,39.96648896,N
DTXSID6020278,10,100.4569688,Y
DTXSID4048199,6,61.68164509,N
DTXSID9024986,3,32.24124406,N
DTXSID1022396,9,94.68875456,Y
DTXSID3034531,4,36.90784463,N
DTXSID3026566,2,17.0571211,N
DTXSID9041653,9,96.92307692,Y
DTXSID9034282,4,34.84843869,N
DTXSID0020814,3,26.26270118,N
DTXSID6042074,8,80.47159799,N
DTXSID1022421,3,23.25688708,N
DTXSID2022123,2,17.10586443,N
DTXSID6021793,9,90.26503549,Y
DTXSID4022525,9,92.27174961,Y
DTXSID6022008,6,55.15003808,N
DTXSID2038788,2,20.82045129,N
DTXSID1027429,5,44.92612338,N
DTXSID9021847,6,57.91622239,N
DTXSID2041250,5,51.99881332,N
DTXSID6028022,9,97.37437128,Y
DTXSID2041252,7,69.5353237,N
DTXSID7029320,5,45.81324631,N
DTXSID4025292,1,5.287762967,N
DTXSID9027312,1,9.8976368,N
DTXSID0020575,2,21.60683116,N
DTXSID4021842,2,11.09566536,N
DTXSID6044430,6,63.13096216,N
DTXSID2040731,6,56.46553758,N
DTXSID4022109,3,24.69859725,N
