DTXSID,Chemical,CASRN,SMILES,Library,Max conc,Median % activity,Tested in CR?,,,,
DTXSID9032327,Bendiocarb,22781-23-3,CNC(=O)OC1=CC=CC2=C1OC(C)(C)O2,ph1_v2,100.1705,24.24852274,N,,,,
DTXSID7024245,Pendimethalin,40487-42-1,CCC(CC)NC1=C(C=C(C)C(C)=C1[N+]([O-])=O)[N+]([O-])=O,ph1_v2,99.9975,104.9739642,Y,,,,
DTXSID0020440,Dichlorprop,120-36-5,CC(OC1=C(Cl)C=C(Cl)C=C1)C(O)=O,ph1_v2,99.9985,81.65351564,N,,,,
DTXSID3034618,Flufenpyr-ethyl,188489-07-8,CCOC(=O)COC1=CC(N2N=CC(=C(C)C2=O)C(F)(F)F)=C(F)C=C1Cl,ph1_v2,100.004,24.73664049,N,,,,
DTXSID1023990,Cyanazine,21725-46-2,CCNC1=NC(NC(C)(C)C#N)=NC(Cl)=N1,ph1_v2,100,30.74465706,N,,,,
DTXSID8025599,Methylene bis(thiocyanate),6317-18-6,N#CSCSC#N,ph1_v2,100,32.23201175,N,,,,
DTXSID1032359,Cyprodinil,121552-61-2,CC1=NC(NC2=CC=CC=C2)=NC(=C1)C1CC1,ph1_v2,99.9985,91.02081014,Y,,,,
DTXSID2027204,Methyl isothiocyanate,556-61-6,CN=C=S,ph1_v2,100.017,8.574258058,N,,,,
DTXSID8034665,Imazapyr,81334-34-1,CC(C)C1(C)N=C(NC1=O)C1=NC=CC=C1C(O)=O,ph1_v2,99.9985,12.31480689,N,,,,
DTXSID1032355,Clomazone,81777-89-1,CC1(C)CON(CC2=C(Cl)C=CC=C2)C1=O,ph1_v2,99.998,43.99221094,N,,,,
DTXSID1032569,Pirimicarb,23103-98-2,CN(C)C(=O)OC1=C(C)C(C)=NC(=N1)N(C)C,ph1_v2,99.9985,23.29489186,N,,,,
DTXSID4024145,Hexazinone,51235-04-2,CN(C)C1=NC(=O)N(C2CCCCC2)C(=O)N1C,ph1_v2,100.002,21.59537425,N,,,,
DTXSID1024259,Phosalone,2310-17-0,CCOP(=S)(OCC)SCN1C(=O)OC2=CC(Cl)=CC=C12,ph1_v2,100.0035,40.18784142,N,,,,
DTXSID2034881,Quinoxyfen,124495-18-7,FC1=CC=C(OC2=CC=NC3=CC(Cl)=CC(Cl)=C23)C=C1,ph1_v2,100,88.88782481,Y,,,,
DTXSID2034673,Iodosulfuron methyl ester sodium salt,144550-36-7,[Na+].COC(=O)C1=C(C=C(I)C=C1)S(=O)(=O)[N-]C(=O)NC1=NC(OC)=NC(C)=N1,ph1_v2,99.86,96.89132483,Y,,,,
DTXSID6024337,Thiobencarb,28249-77-6,CCN(CC)C(=O)SCC1=CC=C(Cl)C=C1,ph1_v2,100.0015,40.64786123,N,,,,
DTXSID8034580,Ethofumesate,26225-79-6,CCOC1OC2=C(C=C(OS(C)(=O)=O)C=C2)C1(C)C,ph1_v2,100.0025,82.63252548,N,,,,
DTXSID1021160,Picloram,1918-02-1,NC1=C(Cl)C(Cl)=NC(C(O)=O)=C1Cl,ph1_v2,99.999,55.14258799,N,,,,
DTXSID2040361,Metam-sodium hydrate,6734-80-1,O.O.O.[Na+].CNC([S-])=S,ph1_v2,99.999,36.55879628,N,,,,
DTXSID3031864,Perfluorooctanesulfonic acid,1763-23-1,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ph1_v2,150,104.8813908,Y,,,,
DTXSID8040222,Trifloxysulfuron-sodium,199119-58-9,[Na+].COC1=CC(OC)=NC(NC(=O)[N-]S(=O)(=O)C2=NC=CC=C2OCC(F)(F)F)=N1,ph1_v2,99.995,30.51858878,N,,,,
DTXSID3024316,Tebuthiuron,34014-18-1,CNC(=O)N(C)C1=NN=C(S1)C(C)(C)C,ph1_v2,99.999,9.745653849,N,,,,
DTXSID5032365,"2,6-Dichlorobenzonitrile",1194-65-6,ClC1=CC=CC(Cl)=C1C#N,ph1_v2,99.999,77.73828894,N,,,,
DTXSID9024304,Sethoxydim,74051-80-2,CCCC(=NOCC)C1=C(O)CC(CC(C)SCC)CC1=O,ph1_v2,100.447,55.52796095,N,,,,
DTXSID3034402,Butachlor,23184-66-9,CCCCOCN(C(=O)CCl)C1=C(CC)C=CC=C1CC,ph1_v2,100.001,39.16557518,N,,,,
DTXSID1034210,Prodiamine,29091-21-2,CCCN(CCC)C1=C(C(N)=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,ph1_v2,99.815,106.5983528,Y,,,,
DTXSID3024287,Imazethapyr,81335-77-5,CCC1=CN=C(C2=NC(C)(C(C)C)C(=O)N2)C(=C1)C(O)=O,ph1_v2,100,8.19090822,N,,,,
DTXSID4021975,Diphenylamine,122-39-4,N(C1=CC=CC=C1)C1=CC=CC=C1,ph1_v2,100.001,83.84409117,N,,,,
DTXSID3024102,Fenamiphos,22224-92-6,CCOP(=O)(NC(C)C)OC1=CC=C(SC)C(C)=C1,ph1_v2,100.014,62.27198767,N,,,,
DTXSID1034973,Tralkoxydim,87820-88-0,CCON=C(CC)C1=C(O)CC(CC1=O)C1=C(C)C=C(C)C=C1C,ph1_v2,100.0025,96.30041963,Y,,,,
DTXSID7032424,Mesotrione,104206-82-8,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C1C(=O)CCCC1=O)[N+]([O-])=O,ph1_v2,99.9985,75.82426993,N,,,,
DTXSID9034864,Propoxycarbazone-sodium,181274-15-7,[Na+].CCCOC1=NN(C(=O)[N-]S(=O)(=O)C2=C(C=CC=C2)C(=O)OC)C(=O)N1C,ph1_v2,99.9875,52.288918,N,,,,
DTXSID9023881,Clofentezine,74115-24-5,ClC1=CC=CC=C1C1=NN=C(N=N1)C1=C(Cl)C=CC=C1,ph1_v2,100,60.08369805,N,,,,
DTXSID1020855,Methyl parathion,298-00-0,COP(=S)(OC)OC1=CC=C(C=C1)[N+]([O-])=O,ph1_v2,99.982,92.60358807,Y,,,,
DTXSID7024085,Ethephon,16672-87-0,OP(O)(=O)CCCl,ph1_v2,100,10.94617889,N,,,,
DTXSID3032337,Butralin,33629-47-9,CCC(C)NC1=C(C=C(C=C1[N+]([O-])=O)C(C)(C)C)[N+]([O-])=O,ph1_v2,99.9965,73.41149411,N,,,,
DTXSID8024234,Norflurazon,27314-13-2,CNC1=C(Cl)C(=O)N(N=C1)C1=CC=CC(=C1)C(F)(F)F,ph1_v2,100.0015,47.9953998,N,,,,
DTXSID8032386,Ethalfluralin,55283-68-6,CCN(CC(C)=C)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,ph1_v2,100,73.27140395,N,,,,
DTXSID7032393,Fenoxycarb,72490-01-8,CCOC(=O)NCCOC1=CC=C(OC2=CC=CC=C2)C=C1,ph1_v2,100.0015,83.73638309,N,,,,
DTXSID8034877,Pyrimethanil,53112-28-0,CC1=CC(C)=NC(NC2=CC=CC=C2)=N1,ph1_v2,99.999,59.63645657,N,,,,
DTXSID4024195,2-(4-Chloro-2-methylphenoxy)acetic acid,94-74-6,CC1=C(OCC(O)=O)C=CC(Cl)=C1,ph1_v2,99.9985,79.41326693,N,,,,
DTXSID1023869,Ametryn,834-12-8,CCNC1=NC(SC)=NC(NC(C)C)=N1,ph1_v2,99.9985,62.07303837,N,,,,
DTXSID6034849,Propamocarb hydrochloride,25606-41-1,Cl.CCCOC(=O)NCCCN(C)C,ph1_v2,99.9985,19.65087818,N,,,,
DTXSID0032497,Triclopyr,55335-06-3,OC(=O)COC1=C(Cl)C=C(Cl)C(Cl)=N1,ph1_v2,102.0025,93.90808187,Y,,,,
DTXSID9034818,Azamethiphos,35575-96-3,COP(=O)(OC)SCN1C(=O)OC2=CC(Cl)=CN=C12,ph1_v2,100,34.26065234,N,,,,
DTXSID9020794,Maneb,12427-38-2,[Mn++].[S-]C(=S)NCCNC([S-])=S,ph1_v2,49.9991,37.4135937,N,,,,
DTXSID2034590,Fenamidone,161326-34-7,CSC1=N[C@](C)(C(=O)N1NC1=CC=CC=C1)C1=CC=CC=C1,ph1_v2,99.998,35.28259574,N,,,,
DTXSID8020628,Fluometuron,2164-17-2,CN(C)C(=O)NC1=CC=CC(=C1)C(F)(F)F,ph1_v2,100,54.8196317,N,,,,
DTXSID0024002,Fenpropathrin,39515-41-8,CC1(C)C(C(=O)OC(C#N)C2=CC=CC(OC3=CC=CC=C3)=C2)C1(C)C,ph1_v2,100,61.22151526,N,,,,
DTXSID1021166,Piperonyl butoxide,51-03-6,CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC,ph1_v2,100.9825,38.24201834,N,,,,
DTXSID9020089,Anilazine,101-05-3,ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1,ph1_v2,100.002,75.7793378,N,,,,
DTXSID5037523,Diazoxon,962-58-3,CCOP(=O)(OCC)OC1=NC(=NC(C)=C1)C(C)C,ph1_v2,100.254,16.57650587,N,,,,
DTXSID1034503,Cyhalofop-butyl,122008-85-9,CCCCOC(=O)[C@@H](C)OC1=CC=C(OC2=C(F)C=C(C=C2)C#N)C=C1,ph1_v2,99.58,51.08613392,N,,,,
DTXSID0021389,Trichlorfon,52-68-6,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,ph1_v2,100,20.76968355,N,,,,
DTXSID2020426,"1-Amino-2,6-dichloro-4-nitrobenzene",99-30-9,NC1=C(Cl)C=C(C=C1Cl)[N+]([O-])=O,ph1_v2,100,99.77857893,Y,,,,
DTXSID2040363,Diniconazole,83657-24-3,CC(C)(C)C(O)C(=C/C1=C(Cl)C=C(Cl)C=C1)\N1C=NC=N1,ph1_v2,99.998,82.68646279,N,,,,
DTXSID1038666,Chlorpyrifos oxon,5598-15-2,CCOP(=O)(OCC)OC1=NC(Cl)=C(Cl)C=C1Cl,ph1_v2,99.644,99.35252404,Y,,,,
DTXSID4034653,Hexaconazole,79983-71-4,CCCCC(O)(CN1C=NC=N1)C1=CC=C(Cl)C=C1Cl,ph1_v2,99.998,69.02283547,N,,,,
DTXSID7034545,Dimethomorph,110488-70-5,COC1=C(OC)C=C(C=C1)C(=CC(=O)N1CCOCC1)C1=CC=C(Cl)C=C1,ph1_v2,100,32.11592903,N,,,,
DTXSID4024276,Propargite,2312-35-8,CC(C)(C)C1=CC=C(OC2CCCCC2OS(=O)OCC#C)C=C1,ph1_v2,100,50.10077497,N,,,,
DTXSID9020792,Maleic hydrazide,123-33-1,O=C1NNC(=O)C=C1,ph1_v2,99.956,11.89381102,N,,,,
DTXSID4020242,Captafol,2425-06-1,ClC(Cl)C(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O,ph1_v2,100,74.66042658,N,,,,
DTXSID5032525,Bifenazate,149877-41-8,COC1=C(NNC(=O)OC(C)C)C=C(C=C1)C1=CC=CC=C1,ph1_v2,100.022,71.69100836,N,,,,
DTXSID4020791,Malathion,121-75-5,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,ph1_v2,100.0045,74.95091315,N,,,,
DTXSID5023871,Amitraz,33089-61-1,CN(C=NC1=C(C)C=C(C)C=C1)C=NC1=C(C)C=C(C)C=C1,ph1_v2,100.0025,54.05723575,N,,,,
DTXSID6023999,Cyromazine,66215-27-8,NC1=NC(NC2CC2)=NC(N)=N1,ph1_v2,99.9985,24.21154228,N,,,,
DTXSID2032552,Flufenacet,142459-58-3,CC(C)N(C(=O)COC1=NN=C(S1)C(F)(F)F)C1=CC=C(F)C=C1,ph1_v2,99.998,66.83880685,N,,,,
DTXSID3034456,Cinmethylin,87818-31-3,CC(C)[C@]12CC[C@](C)(O1)[C@@H](C2)OCC1=C(C)C=CC=C1,ph1_v2,100.007,45.90225665,N,,,,
DTXSID5024182,2-Methoxyethanol,109-86-4,COCCO,ph1_v2,100.2025,23.30352888,N,,,,
DTXSID5032600,Cyclanilide,113136-77-9,OC(=O)C1(CC1)C(=O)NC1=CC=C(Cl)C=C1Cl,ph1_v2,100.2265,96.3948108,Y,,,,
DTXSID7020764,Chlorpropham,101-21-3,CC(C)OC(=O)NC1=CC=CC(Cl)=C1,ph1_v2,99.9985,74.24083488,N,,,,
DTXSID3021196,"2,4-Bis(isopropylamino)-6-chloro-1,3,5-triazine",139-40-2,CC(C)NC1=NC(NC(C)C)=NC(Cl)=N1,ph1_v2,99.9985,30.11610412,N,,,,
DTXSID0024216,Nitrapyrin,1929-82-4,ClC1=CC=CC(=N1)C(Cl)(Cl)Cl,ph1_v2,100,76.00527179,N,,,,
DTXSID1024170,"1,1-Dimethylpiperidinium chloride",24307-26-4,[Cl-].C[N+]1(C)CCCCC1,ph1_v2,99.9985,27.50852547,N,,,,
DTXSID8032673,Pyrithiobac sodium,123343-16-8,[Na+].COC1=CC(OC)=NC(SC2=C(C([O-])=O)C(Cl)=CC=C2)=N1,ph1_v2,100,66.32238629,N,,,,
DTXSID8022111,"N-(3,4-Dichlorophenyl)propanamide",709-98-8,CCC(=O)NC1=CC=C(Cl)C(Cl)=C1,ph1_v2,99.9985,57.99510476,N,,,,
DTXSID2024242,Paclobutrazol,76738-62-0,CC(C)(C)[C@@H](O)[C@@H](CC1=CC=C(Cl)C=C1)N1C=NC=N1,ph1_v2,100,30.37706681,N,,,,
DTXSID9020370,Daminozide,1596-84-5,CN(C)NC(=O)CCC(O)=O,ph1_v2,100.001,18.79642347,N,,,,
DTXSID4032667,Esfenvalerate,66230-04-4,CC(C)[C@H](C(=O)O[C@H](C#N)C1=CC=CC(OC2=CC=CC=C2)=C1)C1=CC=C(Cl)C=C1,ph1_v2,100.0035,47.13961376,N,,,,
DTXSID0034803,Penoxsulam,219714-96-2,COC1=CN=C(OC)N2N=C(NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)N=C12,ph1_v2,99.996,26.4652297,N,,,,
DTXSID8032548,"4-(4-Chlorophenyl)-2-phenyl-2-(1H-1,2,4-triazol-1-ylmethyl)butyronitrile",114369-43-6,ClC1=CC=C(CCC(CN2C=NC=N2)(C#N)C2=CC=CC=C2)C=C1,ph1_v2,99.9965,22.84631001,N,,,,
DTXSID9029221,Clopyralid,1702-17-6,OC(=O)C1=C(Cl)C=CC(Cl)=N1,ph1_v2,99.998,30.75198002,N,,,,
DTXSID3024235,Flusilazole,85509-19-9,C[Si](CN1C=NC=N1)(C1=CC=C(F)C=C1)C1=CC=C(F)C=C1,ph1_v2,100,52.16915692,N,,,,
DTXSID5020819,Methidathion,950-37-8,COC1=NN(CSP(=S)(OC)OC)C(=O)S1,ph1_v2,100.0155,73.86831852,N,,,,
DTXSID8024315,Myclobutanil,88671-89-0,CCCCC(CN1C=NC=N1)(C#N)C1=CC=C(Cl)C=C1,ph1_v2,99.9985,38.31732968,N,,,,
DTXSID5032577,Tefluthrin,79538-32-2,CC1=C(F)C(F)=C(COC(=O)C2C(\C=C(/Cl)C(F)(F)F)C2(C)C)C(F)=C1F,ph1_v2,100,23.83603647,N,,,,
DTXSID8024159,Isoxaben,82558-50-7,CCC(C)(CC)C1=NOC(NC(=O)C2=C(OC)C=CC=C2OC)=C1,ph1_v2,100,79.55566314,N,,,,
DTXSID0023951,Carboxin,5234-68-4,CC1=C(SCCO1)C(=O)NC1=CC=CC=C1,ph1_v2,100,36.7351515,N,,,,
DTXSID1024174,Tribufos,78-48-8,CCCCSP(=O)(SCCCC)SCCCC,ph1_v2,100.003,51.23860244,N,,,,
DTXSID2032398,Fludioxonil,131341-86-1,FC1(F)OC2=CC=CC(=C2O1)C1=CNC=C1C#N,ph1_v2,100.2285,85.74151414,Y,,,,
DTXSID7024035,"2,4-Dichlorophenoxybutyric acid",94-82-6,OC(=O)CCCOC1=CC=C(Cl)C=C1Cl,ph1_v2,101.737,99.44886858,Y,,,,
DTXSID8034956,Tetraconazole,112281-77-3,FC(F)C(F)(F)OCC(CN1C=NC=N1)C1=C(Cl)C=C(Cl)C=C1,ph1_v2,99.5215,72.25046397,N,,,,
DTXSID8024109,Flutolanil,66332-96-5,CC(C)OC1=CC(NC(=O)C2=C(C=CC=C2)C(F)(F)F)=CC=C1,ph1_v2,99.8175,75.62871513,N,,,,
DTXSID4032615,Flumetsulam,98967-40-9,CC1=NC2=NC(=NN2C=C1)S(=O)(=O)NC1=C(F)C=CC=C1F,ph1_v2,100,39.56534603,N,,,,
DTXSID7021948,Propoxur,114-26-1,CNC(=O)OC1=CC=CC=C1OC(C)C,ph1_v2,99.998,15.20750962,N,,,,
DTXSID0032651,Thidiazuron,51707-55-2,O=C(NC1=CN=NS1)NC1=CC=CC=C1,ph1_v2,100,46.33093934,N,,,,
DTXSID7032555,Flumioxazin,103361-09-7,FC1=CC2=C(C=C1N1C(=O)C3=C(CCCC3)C1=O)N(CC#C)C(=O)CO2,ph1_v2,100.0765,85.15021921,Y,,,,
DTXSID0032601,Cyproconazole,94361-06-5,CC(C1CC1)C(O)(CN1C=NC=N1)C1=CC=C(Cl)C=C1,ph1_v2,100.004,44.1124534,N,,,,
DTXSID8032544,"Dipropyl 2,5-pyridinedicarboxylate",136-45-8,CCCOC(=O)C1=CC=C(N=C1)C(=O)OCCC,ph1_v2,99.998,33.16388284,N,,,,
DTXSID1022267,Methomyl,16752-77-5,CNC(=O)ON=C(C)SC,ph1_v2,100,19.44670236,N,,,,
DTXSID9034365,Butafenacil,134605-64-4,CN1C(=O)N(C(=O)C=C1C(F)(F)F)C1=CC(C(=O)OC(C)(C)C(=O)OCC=C)=C(Cl)C=C1,ph1_v2,100.288,40.93170876,N,,,,
DTXSID1032519,Acibenzolar-S-methyl,135158-54-2,CSC(=O)C1=CC=CC2=C1SN=N2,ph1_v2,100.002,72.22019789,N,,,,
DTXSID4020537,Diphenhydramine hydrochloride,147-24-0,Cl.CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1,ph2,100.001,-41.59963781,N,,,,
DTXSID9020663,Glycerol,56-81-5,OCC(O)CO,ph2,99.9985,-8.531836178,N,,,,
DTXSID8020759,Isophorone,78-59-1,CC1=CC(=O)CC(C)(C)C1,ph2,100,26.14797136,N,,,,
DTXSID2020006,Acetaminophen,103-90-2,CC(=O)NC1=CC=C(O)C=C1,ph2,100,-15.85680191,N,,,,
DTXSID6034186,Spironolactone,52-01-7,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@H](CC2=CC(=O)CC[C@]12C)SC(C)=O,ph2,100,-5.935613682,N,,,,
DTXSID7024081,Endothal,145-73-3,OC(=O)C1C2CCC(O2)C1C(O)=O,ph2,100,-3.395385839,N,,,,
DTXSID3020207,Dinoseb,88-85-7,CCC(C)C1=CC(=CC(=C1O)[N+]([O-])=O)[N+]([O-])=O,ph2,100,109.00626,Y,,,,
DTXSID0020529,"2,4-Dinitrotoluene",121-14-2,CC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,ph2,100.001,74.69007594,N,,,,
DTXSID9024065,"1,3-Dinitrobenzene",99-65-0,[O-][N+](=O)C1=CC(=CC=C1)[N+]([O-])=O,ph2,100.002,11.11535402,N,,,,
DTXSID2038732,Diethyl butanedioate,123-25-1,CCOC(=O)CCC(=O)OCC,ph2,100,6.431185362,N,,,,
DTXSID2047355,Trelanserin,189003-92-7,NC(=O)CN1C(=O)C=C(CCN2CCN(CC2)C2=NC=CC3=C2C=CS3)C2=C1C=C(F)C=C2,ph2,100,-4.24806906,N,,,,
DTXSID4047335,MK-812,851916-42-2,OC(=O)CCC([O-])=O.CO[C@@H]1COCC[C@@H]1[NH2+][C@@H]1CC[C@](C1)(C(C)C)C(=O)N1CCC2=C(C1)C=C(C=N2)C(F)(F)F,ph2,75.017,20.8655529,N,,,,
DTXSID8020755,Isoniazid,54-85-3,NNC(=O)C1=CC=NC=C1,ph2,99.996,76.82100239,N,,,,
DTXSID5023322,Mifepristone,84371-65-3,[H][C@@]12CC[C@@](O)(C#CC)[C@@]1(C)C[C@]([H])(C1=CC=C(C=C1)N(C)C)C1=C3CCC(=O)C=C3CC[C@@]21[H],ph2,100,0.188744534,N,,,,
DTXSID8022959,Docusate sodium,577-11-7,[Na+].CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S([O-])(=O)=O,ph2,100,104.7406336,Y,,,,
DTXSID3021986,Tributyl phosphate,126-73-8,CCCCOP(=O)(OCCCC)OCCCC,ph2,100,1.489582657,N,,,,
DTXSID1041847,Dibutyl decanedioate,109-43-3,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,ph2,100.0075,-0.470565327,N,,,,
DTXSID0027640,Malic acid,6915-15-7,OC(CC(O)=O)C(O)=O,ph2,100,-18.74862374,N,,,,
DTXSID4020371,Dapsone,80-08-0,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,ph2,100,24.9769292,N,,,,
DTXSID7037717,Bisphenol AF,1478-61-1,OC1=CC=C(C=C1)C(C1=CC=C(O)C=C1)(C(F)(F)F)C(F)(F)F,ph2,100.001,100.7015005,Y,,,,
DTXSID6021030,N-Nitrosodiphenylamine,86-30-6,O=NN(C1=CC=CC=C1)C1=CC=CC=C1,ph2,100,86.68407311,Y,,,,
DTXSID3020964,Nitrobenzene,98-95-3,[O-][N+](=O)C1=CC=CC=C1,ph2,99.9975,56.07743296,N,,,,
DTXSID4022529,Methylparaben,99-76-3,COC(=O)C1=CC=C(O)C=C1,ph2,100,51.54176611,N,,,,
DTXSID7032004,Flutamide,13311-84-7,CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,ph2,100,30.39852015,N,,,,
DTXSID0020232,Caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,ph2,100.8,-3.242788835,N,,,,
DTXSID0021256,Sulfasalazine,599-79-1,OC(=O)C1=CC(=CC=C1O)N=NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=C1,ph2,100.002,109.3334172,Y,,,,
DTXSID2022381,meso-Hexestrol,84-16-2,CC[C@@H]([C@@H](CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,ph2,100.0025,101.9893555,Y,,,,
DTXSID1020770,Kepone,143-50-0,ClC12C(=O)C3(Cl)C4(Cl)C1(Cl)C1(Cl)C2(Cl)C3(Cl)C4(Cl)C1(Cl)Cl,ph2,100.0085,64.73356267,N,,,,
DTXSID1027263,Pentyl acetate,628-63-7,CCCCCOC(C)=O,ph2,100,38.29340463,N,,,,
DTXSID8037706,Potassium perfluorooctanesulfonate,2795-39-3,[K+].[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ph2,150,104.2610502,Y,,,,
DTXSID6025145,"2,5-Dimethylphenol",95-87-4,CC1=CC(O)=C(C)C=C1,ph2,102.6255,75.15746097,N,,,,
DTXSID6024466,4-Aminobenzoic acid,150-13-0,NC1=CC=C(C=C1)C(O)=O,ph2,100,-5.857727007,N,,,,
DTXSID6048175,Difpas-pyrazole,151506-44-4,COC1=CC=C(C=C1)N1N=C(C=C1C1=CC=C(C=C1)S(C)=O)C(F)F,ph2,99.9985,33.11058075,N,,,,
DTXSID5020027,Acrylamide,79-06-1,NC(=O)C=C,ph2,99.9985,12.42641209,N,,,,
DTXSID7021029,N-Nitrosodimethylamine,62-75-9,CN(C)N=O,ph2,100.0035,-12.75913052,N,,,,
DTXSID7027205,Octamethylcyclotetrasiloxane,556-67-2,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,ph2,100.0035,-1.295147176,N,,,,
DTXSID2020634,5-Fluorouracil,51-21-8,FC1=CNC(=O)NC1=O,ph2,101.7655,14.13318621,N,,,,
DTXSID0021125,Phenolphthalein,77-09-8,OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1,ph2,100.0015,100.2485136,Y,,,,
DTXSID1032646,N-Ethylperfluorooctanesulfonamide,4151-50-2,CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ph2,96.264,94.65502694,Y,,,,
DTXSID5048186,Tetrac,67-30-1,OC(=O)CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1,ph2,100,105.0300418,Y,,,,
DTXSID2029329,Tripropylene glycol monomethyl ether,25498-49-1, ,ph2,100,96.68753342,Y,,,,
DTXSID6027268,Pentadecane,629-62-9,CCCCCCCCCCCCCCC,ph2,99.9985,4.669955215,N,,,,
DTXSID1020431,"1,4-Dichlorobenzene",106-46-7,ClC1=CC=C(Cl)C=C1,ph2,100,-12.72553699,N,,,,
DTXSID3022536,4-Cumylphenol,599-64-4,CC(C)(C1=CC=CC=C1)C1=CC=C(O)C=C1,ph2,99.998,103.0545157,Y,,,,
DTXSID0027195,Hexadecane,544-76-3,CCCCCCCCCCCCCCCC,ph2,100,10.13524264,N,,,,
DTXSID3026726,Citronellol,106-22-9,CC(CCO)CCC=C(C)C,ph2,100,92.94152009,Y,,,,
DTXSID7041097,1-(2-Chlorophenyl)-N-methyl-N-(1-methylpropyl)-3-isoquinolinecarboxamide,85532-75-8,CCC(C)N(C)C(=O)C1=CC2=C(C=CC=C2)C(=N1)C1=CC=CC=C1Cl,ph2,100,102.2359966,Y,,,,
DTXSID6022927,Didanosine,69655-05-6,OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CNC2=O,ph2,100.002,1.658337119,N,,,,
DTXSID1024045,Diethyl sulfate,64-67-5,CCOS(=O)(=O)OCC,ph2,100.002,-4.014409035,N,,,,
DTXSID5020653,Gentian Violet,548-62-9,[Cl-].CN(C)C1=CC=C(C=C1)C(C1=CC=C(C=C1)N(C)C)=C1C=CC(C=C1)=[N+](C)C,ph2,100.003,89.37151949,Y,,,,
DTXSID3031860,Perfluorodecanoic acid,335-76-2,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ph2,100,102.8531882,Y,,,,
DTXSID6024888,Cyclophosphamide monohydrate,6055-19-2,O.ClCCN(CCCl)P1(=O)NCCCO1,ph2,99.9975,63.3049168,N,,,,
DTXSID7027041,"2,4,7,9-Tetramethyl-5-decyne-4,7-diol",126-86-3,CC(C)CC(C)(O)C#CC(C)(O)CC(C)C,ph2,100.002,15.30089025,N,,,,
DTXSID1021956,Di-n-octyl phthalate,117-84-0,CCCCCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCCCCC,ph2,100,15.13866913,N,,,,
DTXSID5026889,Methyl dodecanoate,111-82-0,CCCCCCCCCCCC(=O)OC,ph2,100,32.11041435,N,,,,
DTXSID9020617,Eugenol,97-53-0,COC1=C(O)C=CC(CC=C)=C1,ph2,100,91.16935845,Y,,,,
DTXSID7027625,Bis(2-ethylhexyl) terephthalate,6422-86-2,CCCCC(CC)COC(=O)C1=CC=C(C=C1)C(=O)OCC(CC)CCCC,ph2,100.005,4.319287347,N,,,,
DTXSID8024105,Fluorene,86-73-7,C1C2=C(C=CC=C2)C2=C1C=CC=C2,ph2,100.0205,19.41283661,N,,,,
DTXSID8021808,o-Cresol,95-48-7,CC1=C(O)C=CC=C1,ph2,99.986,47.35978433,N,,,,
DTXSID9036690,Diisobutyl adipate,141-04-8,CC(C)COC(=O)CCCCC(=O)OCC(C)C,ph2,100,63.23142337,N,,,,
DTXSID8026773,"1,3-Butanediol",107-88-0,CC(O)CCO,ph2,100,-5.782547074,N,,,,
DTXSID6047280,CP-607366,289716-94-5,CNCC1=C(OC2=CC=C(Cl)C(Cl)=C2)C=CC(F)=C1,ph2,100,35.52130341,N,,,,
